"BIOMARKER","drug_mean_log2fc","drug_vs_placebo_pval","adj_pval","regulation"
"GHR",0,NA,NA,"Not Significant"
"GHRH",0,NA,NA,"Not Significant"
"SHC1",0,NA,NA,"Not Significant"
"POU1F1",0,NA,NA,"Not Significant"
"PROP1",0,NA,NA,"Not Significant"
"TERC",0,NA,NA,"Not Significant"
"TERT",0,NA,NA,"Not Significant"
"ATM",0,NA,NA,"Not Significant"
"PLAU",0,NA,NA,"Not Significant"
"ERCC2",0,NA,NA,"Not Significant"
"ERCC8",0,NA,NA,"Not Significant"
"WRN",0,NA,NA,"Not Significant"
"LMNA",0,NA,NA,"Not Significant"
"IGF1R",0,NA,NA,"Not Significant"
"TXN",0,NA,NA,"Not Significant"
"KL",0,NA,NA,"Not Significant"
"E2F1",0,NA,NA,"Not Significant"
"PTPN11",0,NA,NA,"Not Significant"
"NFKB2",0,NA,NA,"Not Significant"
"STAT5B",0,NA,NA,"Not Significant"
"STAT3",0,NA,NA,"Not Significant"
"STAT5A",0,NA,NA,"Not Significant"
"NRG1",0,NA,NA,"Not Significant"
"HDAC3",0,NA,NA,"Not Significant"
"GH1",0,NA,NA,"Not Significant"
"IL7R",0,NA,NA,"Not Significant"
"IGF1",0,NA,NA,"Not Significant"
"IGF2",0,NA,NA,"Not Significant"
"INS",0,NA,NA,"Not Significant"
"NGF",0,NA,NA,"Not Significant"
"IRS1",0,NA,NA,"Not Significant"
"PTPN1",0,NA,NA,"Not Significant"
"IRS2",0,NA,NA,"Not Significant"
"AKT1",0,NA,NA,"Not Significant"
"PIK3CB",0,NA,NA,"Not Significant"
"NGFR",0,NA,NA,"Not Significant"
"HRAS",0,NA,NA,"Not Significant"
"MYC",0,NA,NA,"Not Significant"
"EGFR",0,NA,NA,"Not Significant"
"ERBB2",0,NA,NA,"Not Significant"
"INSR",0,NA,NA,"Not Significant"
"NCOR1",0,NA,NA,"Not Significant"
"NBN",0,NA,NA,"Not Significant"
"JUND",0,NA,NA,"Not Significant"
"IL2",0,NA,NA,"Not Significant"
"PDGFB",0,NA,NA,"Not Significant"
"EGF",0,NA,NA,"Not Significant"
"IL2RG",0,NA,NA,"Not Significant"
"FOS",0,NA,NA,"Not Significant"
"PDGFRB",0,NA,NA,"Not Significant"
"EPOR",0,NA,NA,"Not Significant"
"SST",0,NA,NA,"Not Significant"
"PRKCD",0,NA,NA,"Not Significant"
"PPARA",0,NA,NA,"Not Significant"
"RET",0,NA,NA,"Not Significant"
"PLCG2",0,NA,NA,"Not Significant"
"PEX5",0,NA,NA,"Not Significant"
"TCF3",0,NA,NA,"Not Significant"
"PARP1",0,NA,NA,"Not Significant"
"BRCA1",0,NA,NA,"Not Significant"
"PIN1",0,NA,NA,"Not Significant"
"PTEN",0,NA,NA,"Not Significant"
"CREBBP",0,NA,NA,"Not Significant"
"HIF1A",0,NA,NA,"Not Significant"
"UBB",0,NA,NA,"Not Significant"
"RPA1",0,NA,NA,"Not Significant"
"BLM",0,NA,NA,"Not Significant"
"BCL2",0,NA,NA,"Not Significant"
"S100B",0,NA,NA,"Not Significant"
"VCP",0,NA,NA,"Not Significant"
"POLG",0,NA,NA,"Not Significant"
"IGFBP3",0,NA,NA,"Not Significant"
"HSP90AA1",0,NA,NA,"Not Significant"
"NR3C1",0,NA,NA,"Not Significant"
"EGR1",0,NA,NA,"Not Significant"
"VEGFA",0,NA,NA,"Not Significant"
"ABL1",0,NA,NA,"Not Significant"
"BRCA2",0,NA,NA,"Not Significant"
"TOP2A",0,NA,NA,"Not Significant"
"TOP2B",0,NA,NA,"Not Significant"
"TOP1",0,NA,NA,"Not Significant"
"RAD51",0,NA,NA,"Not Significant"
"UBE2I",0,NA,NA,"Not Significant"
"PDPK1",0,NA,NA,"Not Significant"
"CEBPA",0,NA,NA,"Not Significant"
"CEBPB",0,NA,NA,"Not Significant"
"MXI1",0,NA,NA,"Not Significant"
"TGFB1",0,NA,NA,"Not Significant"
"ERCC6",0,NA,NA,"Not Significant"
"STK11",0,NA,NA,"Not Significant"
"EP300",0,NA,NA,"Not Significant"
"APTX",0,NA,NA,"Not Significant"
"PML",0,NA,NA,"Not Significant"
"GSK3B",0,NA,NA,"Not Significant"
"HTT",0,NA,NA,"Not Significant"
"PRKCA",0,NA,NA,"Not Significant"
"SSTR3",0,NA,NA,"Not Significant"
"HELLS",0,NA,NA,"Not Significant"
"APOC3",0,NA,NA,"Not Significant"
"EEF2",0,NA,NA,"Not Significant"
"ERCC3",0,NA,NA,"Not Significant"
"TERF1",0,NA,NA,"Not Significant"
"PRKDC",0,NA,NA,"Not Significant"
"CAT",0,NA,NA,"Not Significant"
"ERCC5",0,NA,NA,"Not Significant"
"AR",0,NA,NA,"Not Significant"
"GTF2H2",0,NA,NA,"Not Significant"
"XRCC5",0,NA,NA,"Not Significant"
"PCNA",0,NA,NA,"Not Significant"
"FEN1",0,NA,NA,"Not Significant"
"FAS",0,NA,NA,"Not Significant"
"TERF2",0,NA,NA,"Not Significant"
"XRCC6",0,NA,NA,"Not Significant"
"POLD1",0,NA,NA,"Not Significant"
"BAX",0,NA,NA,"Not Significant"
"RB1",0,NA,NA,"Not Significant"
"EMD",0,NA,NA,"Not Significant"
"GRB2",0,NA,NA,"Not Significant"
"FOXO3",0,NA,NA,"Not Significant"
"FOXO1",0,NA,NA,"Not Significant"
"HSF1",0,NA,NA,"Not Significant"
"XPA",0,NA,NA,"Not Significant"
"MSRA",0,NA,NA,"Not Significant"
"RECQL4",0,NA,NA,"Not Significant"
"SOD2",0,NA,NA,"Not Significant"
"SOD1",0,NA,NA,"Not Significant"
"FOXM1",0,NA,NA,"Not Significant"
"COQ7",0,NA,NA,"Not Significant"
"CACNA1A",0,NA,NA,"Not Significant"
"LRP2",0,NA,NA,"Not Significant"
"AIFM1",0,NA,NA,"Not Significant"
"UCHL1",0,NA,NA,"Not Significant"
"APP",0,NA,NA,"Not Significant"
"APOE",0,NA,NA,"Not Significant"
"A2M",0,NA,NA,"Not Significant"
"SNCG",0,NA,NA,"Not Significant"
"PRDX1",0,NA,NA,"Not Significant"
"PON1",0,NA,NA,"Not Significant"
"RELA",0,NA,NA,"Not Significant"
"RGN",0,NA,NA,"Not Significant"
"ATP5O",0,NA,NA,"Not Significant"
"RAD52",0,NA,NA,"Not Significant"
"TOP3B",0,NA,NA,"Not Significant"
"ERCC1",0,NA,NA,"Not Significant"
"SIRT1",0,NA,NA,"Not Significant"
"HDAC1",0,NA,NA,"Not Significant"
"HSPA9",0,NA,NA,"Not Significant"
"GPX1",0,NA,NA,"Not Significant"
"GSR",0,NA,NA,"Not Significant"
"GSS",0,NA,NA,"Not Significant"
"GSTA4",0,NA,NA,"Not Significant"
"GSTP1",0,NA,NA,"Not Significant"
"MTCO1",0,NA,NA,"Not Significant"
"HSPD1",0,NA,NA,"Not Significant"
"HSPA1A",0,NA,NA,"Not Significant"
"HSPA1B",0,NA,NA,"Not Significant"
"PCMT1",0,NA,NA,"Not Significant"
"MAPK8",0,NA,NA,"Not Significant"
"YWHAZ",0,NA,NA,"Not Significant"
"PTK2B",0,NA,NA,"Not Significant"
"PTK2",0,NA,NA,"Not Significant"
"IL7",0,NA,NA,"Not Significant"
"MAPK14",0,NA,NA,"Not Significant"
"FGFR1",0,NA,NA,"Not Significant"
"SP1",0,NA,NA,"Not Significant"
"FLT1",0,NA,NA,"Not Significant"
"JUN",0,NA,NA,"Not Significant"
"MED1",0,NA,NA,"Not Significant"
